V,dark,10dbm,12dbm,14dbm,16dbm,18dbm,20dbm
-19.8,-6.4956E-09,-1.70076E-05,-1.16623E-05,-8.06231E-06,-5.86443E-06,-4.1329E-06,-3.25516E-06
-19.9,-6.503E-09,-1.70513E-05,-1.17123E-05,-8.05892E-06,-5.87884E-06,-4.14414E-06,-3.25673E-06
-20,-6.4528E-09,-0.00001707,-1.17346E-05,-8.07375E-06,-5.89502E-06,-4.15876E-06,-3.2628E-06
-20.1,-7.2065E-09,-1.70923E-05,-1.17611E-05,-8.09826E-06,-5.89196E-06,-4.16247E-06,-3.26914E-06
-20.2,-7.5577E-09,-1.71668E-05,-1.17763E-05,-8.12249E-06,-5.90179E-06,-4.17501E-06,-3.28091E-06
-20.3,-7.6477E-09,-1.71493E-05,-1.18107E-05,-8.12304E-06,-5.90861E-06,-4.17541E-06,-3.28782E-06
-20.4,-8.4197E-09,-1.71918E-05,-1.18188E-05,-8.13772E-06,-5.9383E-06,-4.18539E-06,-3.28891E-06
-20.5,-8.733E-09,-1.71956E-05,-0.000011851,-8.14874E-06,-5.93387E-06,-4.19787E-06,-3.30219E-06
-20.6,-9.2035E-09,-1.72174E-05,-1.18855E-05,-8.15798E-06,-5.94598E-06,-4.20709E-06,-3.30525E-06
-20.7,-9.5304E-09,-1.72611E-05,-1.19066E-05,-8.18155E-06,-5.97067E-06,-4.22272E-06,-3.30765E-06
-20.8,-1.00391E-08,-1.73093E-05,-1.19161E-05,-8.20724E-06,-5.97452E-06,-4.23166E-06,-3.32043E-06
-20.9,-1.10987E-08,-1.73007E-05,-0.000011899,-0.000008207,-6.00619E-06,-4.23261E-06,-3.32793E-06
-21,-1.12641E-08,-1.73207E-05,-1.19529E-05,-8.24323E-06,-6.0065E-06,-4.23145E-06,-3.33364E-06
-21.1,-1.12704E-08,-1.73317E-05,-1.19892E-05,-8.24473E-06,-6.02788E-06,-4.24218E-06,-3.33876E-06
-21.2,-1.27557E-08,-1.73992E-05,-1.20116E-05,-8.27431E-06,-6.03808E-06,-4.24406E-06,-3.34545E-06
-21.3,-1.32411E-08,-1.74273E-05,-1.20135E-05,-8.29473E-06,-6.04303E-06,-4.26854E-06,-3.35404E-06
-21.4,-1.33948E-08,-1.74341E-05,-1.20662E-05,-8.30913E-06,-6.06334E-06,-4.27915E-06,-3.37114E-06
-21.5,-1.48365E-08,-1.74919E-05,-1.20938E-05,-8.32706E-06,-6.07675E-06,-4.28154E-06,-3.37388E-06
-21.6,-1.41132E-08,-1.75132E-05,-1.21044E-05,-8.35353E-06,-6.10708E-06,-4.30193E-06,-3.38708E-06
-21.7,-1.37038E-08,-1.75563E-05,-1.21204E-05,-8.36552E-06,-6.11322E-06,-4.31328E-06,-3.39457E-06
-21.8,-1.40826E-08,-1.75878E-05,-1.21187E-05,-8.36424E-06,-6.1212E-06,-4.33028E-06,-3.39889E-06
-21.9,-1.54413E-08,-1.76387E-05,-1.21786E-05,-8.40148E-06,-6.14073E-06,-4.33275E-06,-3.41321E-06
-22,-1.57378E-08,-1.76665E-05,-1.22146E-05,-8.4056E-06,-6.16718E-06,-4.35028E-06,-3.41877E-06
-22.1,-1.57318E-08,-0.000017757,-1.22402E-05,-8.42681E-06,-6.18236E-06,-4.35778E-06,-3.43725E-06
-22.2,-1.70932E-08,-1.77603E-05,-1.22732E-05,-8.45116E-06,-6.19936E-06,-4.36943E-06,-3.44601E-06
-22.3,-1.66122E-08,-1.77796E-05,-1.22829E-05,-8.46594E-06,-6.22402E-06,-0.000004387,-3.46136E-06
-22.4,-1.70515E-08,-1.77762E-05,-1.23188E-05,-8.49874E-06,-6.2304E-06,-4.40176E-06,-3.46668E-06
-22.5,-1.64517E-08,-1.78698E-05,-1.23671E-05,-8.52588E-06,-6.26667E-06,-4.41386E-06,-3.47506E-06
-22.6,-1.56028E-08,-1.79101E-05,-1.23953E-05,-8.55313E-06,-6.2732E-06,-4.42268E-06,-3.48266E-06
-22.7,-1.64442E-08,-1.79388E-05,-1.24452E-05,-8.57832E-06,-6.29057E-06,-4.43912E-06,-3.50214E-06
-22.8,-1.83153E-08,-1.80029E-05,-1.24736E-05,-8.60941E-06,-6.32022E-06,-4.45702E-06,-3.51035E-06
-22.9,-1.82677E-08,-1.80129E-05,-1.24969E-05,-8.64009E-06,-6.33717E-06,-4.47416E-06,-3.52247E-06
-23,-1.88445E-08,-1.81041E-05,-1.25527E-05,-8.66252E-06,-6.35308E-06,-4.48055E-06,-3.54346E-06
-23.1,-1.8843E-08,-1.81501E-05,-1.25854E-05,-8.68878E-06,-6.37147E-06,-4.50566E-06,-3.54667E-06
-23.2,-1.888E-08,-1.82392E-05,-1.26205E-05,-8.71531E-06,-6.40305E-06,-4.52374E-06,-3.55912E-06
-23.3,-1.83705E-08,-1.82756E-05,-1.26385E-05,-8.75999E-06,-6.41368E-06,-4.53953E-06,-3.57449E-06
-23.4,-2.06121E-08,-1.83586E-05,-1.26999E-05,-8.7928E-06,-6.44262E-06,-4.55582E-06,-3.59039E-06
-23.5,-2.16014E-08,-1.83867E-05,-0.000012747,-8.81318E-06,-6.45507E-06,-4.56812E-06,-3.60952E-06
-23.6,-2.09141E-08,-0.00001845,-1.28056E-05,-8.81523E-06,-6.48745E-06,-4.58844E-06,-3.61567E-06
-23.7,-2.09782E-08,-1.84933E-05,-0.000012799,-8.85194E-06,-6.52678E-06,-4.60612E-06,-3.63466E-06
-23.8,-2.06485E-08,-0.00001859,-1.28672E-05,-8.91592E-06,-6.54699E-06,-4.6236E-06,-3.64673E-06
-23.9,-1.94737E-08,-1.86299E-05,-1.29284E-05,-8.93488E-06,-6.57376E-06,-4.64016E-06,-3.66069E-06
-24,-2.02362E-08,-1.86999E-05,-1.29567E-05,-8.97199E-06,-6.59897E-06,-4.65871E-06,-3.68541E-06
-24.1,-2.14882E-08,-0.000018735,-1.29967E-05,-0.000009019,-6.62968E-06,-4.68233E-06,-3.69794E-06
-24.2,-2.32968E-08,-1.87887E-05,-1.30696E-05,-9.05007E-06,-6.63824E-06,-4.69458E-06,-3.71796E-06
-24.3,-2.32006E-08,-1.88586E-05,-0.000013115,-9.08318E-06,-6.68079E-06,-4.72488E-06,-3.73224E-06
-24.4,-2.40001E-08,-1.89407E-05,-1.31472E-05,-9.12267E-06,-6.70668E-06,-4.75733E-06,-3.75161E-06
-24.5,-2.63105E-08,-1.90185E-05,-1.31769E-05,-9.15967E-06,-6.73096E-06,-4.77686E-06,-3.75846E-06
-24.6,-2.63019E-08,-1.90838E-05,-0.000013221,-9.20821E-06,-6.74935E-06,-4.79344E-06,-3.78458E-06
-24.7,-2.84842E-08,-1.91532E-05,-1.32916E-05,-9.24531E-06,-6.78023E-06,-4.81941E-06,-3.79846E-06
-24.8,-2.71889E-08,-1.92249E-05,-1.33547E-05,-9.2695E-06,-6.81794E-06,-4.8467E-06,-3.82181E-06
-24.9,-2.87422E-08,-1.92872E-05,-1.34188E-05,-9.34401E-06,-6.84757E-06,-4.86469E-06,-3.84015E-06
-25,-3.06302E-08,-1.94054E-05,-1.34689E-05,-9.36728E-06,-6.88346E-06,-4.8857E-06,-3.85678E-06
-25.1,-2.71764E-08,-1.94867E-05,-1.35277E-05,-9.43038E-06,-6.92529E-06,-4.90882E-06,-3.88057E-06
-25.2,-2.64339E-08,-1.95738E-05,-1.35868E-05,-9.45851E-06,-6.95413E-06,-4.9439E-06,-3.90073E-06
-25.3,-2.66783E-08,-1.96535E-05,-1.36673E-05,-9.5063E-06,-6.99013E-06,-4.9786E-06,-3.93378E-06
-25.4,-3.00919E-08,-1.97256E-05,-1.37316E-05,-9.56458E-06,-7.02582E-06,-5.00299E-06,-3.94934E-06
-25.5,-3.25161E-08,-1.98595E-05,-1.37845E-05,-9.60227E-06,-7.06875E-06,-5.02663E-06,-3.97113E-06
-25.6,-3.45782E-08,-1.99902E-05,-1.38412E-05,-9.65267E-06,-7.10339E-06,-5.05521E-06,-3.99795E-06
-25.7,-3.4628E-08,-2.00817E-05,-1.39044E-05,-9.71661E-06,-7.14495E-06,-5.08737E-06,-4.03124E-06
-25.8,-3.32601E-08,-2.01998E-05,-1.39359E-05,-9.75392E-06,-7.18581E-06,-5.11347E-06,-4.05031E-06
-25.9,-3.59274E-08,-0.000020256,-1.40576E-05,-9.79392E-06,-7.22935E-06,-5.1484E-06,-4.07833E-06
-26,-3.60689E-08,-2.03971E-05,-1.41272E-05,-9.8675E-06,-7.2731E-06,-5.17505E-06,-4.09222E-06
-26.1,-3.73085E-08,-2.05074E-05,-1.41704E-05,-9.89284E-06,-7.29564E-06,-5.21097E-06,-4.11963E-06
-26.2,-3.92517E-08,-2.05983E-05,-1.42711E-05,-9.97717E-06,-7.35695E-06,-5.23395E-06,-4.15348E-06
-26.3,-3.74699E-08,-2.07188E-05,-0.00001436,-1.00325E-05,-7.40107E-06,-5.27696E-06,-4.18111E-06
-26.4,-3.82936E-08,-2.08224E-05,-1.44462E-05,-1.01073E-05,-7.45027E-06,-5.30943E-06,-4.21279E-06
-26.5,-3.9929E-08,-2.09641E-05,-1.45141E-05,-1.01677E-05,-7.50641E-06,-5.35301E-06,-4.23781E-06
-26.6,-4.06823E-08,-2.10921E-05,-1.46179E-05,-1.02141E-05,-7.55547E-06,-5.39675E-06,-4.26995E-06
-26.7,-4.16105E-08,-2.12208E-05,-1.47148E-05,-1.02967E-05,-7.60268E-06,-5.42283E-06,-4.30989E-06
-26.8,-4.45405E-08,-2.13904E-05,-1.47949E-05,-1.03553E-05,-7.66367E-06,-5.46748E-06,-4.34118E-06
-26.9,-4.62919E-08,-2.15117E-05,-1.48844E-05,-1.04124E-05,-7.72854E-06,-5.50969E-06,-4.3771E-06
-27,-4.31906E-08,-2.16862E-05,-1.49975E-05,-1.05031E-05,-7.77494E-06,-5.55507E-06,-4.41613E-06
-27.1,-4.27388E-08,-0.000021801,-1.50655E-05,-1.05929E-05,-7.82708E-06,-5.5997E-06,-4.45289E-06
-27.2,-4.51702E-08,-2.19389E-05,-1.52087E-05,-1.06537E-05,-7.87937E-06,-5.64687E-06,-4.48984E-06
-27.3,-4.64953E-08,-2.21041E-05,-1.52937E-05,-1.07377E-05,-7.95121E-06,-5.69729E-06,-4.53472E-06
-27.4,-4.73521E-08,-2.22573E-05,-1.53868E-05,-1.08343E-05,-8.00166E-06,-5.74962E-06,-4.57145E-06
-27.5,-4.98018E-08,-2.24342E-05,-0.000015513,-1.08941E-05,-8.07763E-06,-5.80182E-06,-4.61803E-06
-27.6,-5.10044E-08,-2.25766E-05,-1.56283E-05,-1.09681E-05,-8.14684E-06,-5.84106E-06,-4.66033E-06
-27.7,-5.10102E-08,-2.27809E-05,-1.57417E-05,-1.10836E-05,-8.19862E-06,-5.91718E-06,-4.70129E-06
-27.8,-4.62416E-08,-2.29744E-05,-1.58568E-05,-1.11791E-05,-8.27401E-06,-5.96011E-06,-4.75488E-06
-27.9,-4.85604E-08,-2.32117E-05,-1.60149E-05,-1.12853E-05,-8.35561E-06,-6.02192E-06,-4.78991E-06
-28,-5.31889E-08,-2.33958E-05,-1.61573E-05,-0.000011385,-8.44403E-06,-6.08479E-06,-4.84471E-06
-28.1,-5.38383E-08,-0.000023598,-1.62829E-05,-1.14683E-05,-8.5208E-06,-6.14862E-06,-4.88732E-06
-28.2,-5.386E-08,-2.38751E-05,-1.64032E-05,-1.15975E-05,-8.60556E-06,-6.2152E-06,-4.94829E-06
-28.3,-5.83016E-08,-2.41108E-05,-1.65764E-05,-1.17048E-05,-8.67883E-06,-6.28265E-06,-5.00329E-06
-28.4,-5.85412E-08,-2.43999E-05,-1.67166E-05,-1.18018E-05,-8.78708E-06,-6.35794E-06,-5.06842E-06
-28.5,-5.74582E-08,-2.46683E-05,-1.68812E-05,-1.19134E-05,-8.87831E-06,-6.41734E-06,-5.13369E-06
-28.6,-5.95333E-08,-2.49299E-05,-1.70549E-05,-1.20556E-05,-8.98839E-06,-6.48629E-06,-5.19863E-06
-28.7,-6.03576E-08,-2.51698E-05,-1.72531E-05,-0.000012188,-9.09186E-06,-6.56921E-06,-5.25712E-06
-28.8,-6.24916E-08,-2.54377E-05,-1.74571E-05,-1.23195E-05,-9.18925E-06,-6.6554E-06,-5.32089E-06
-28.9,-6.37459E-08,-2.58181E-05,-1.75783E-05,-0.00001247,-9.30834E-06,-6.74257E-06,-5.40117E-06
-29,-6.67754E-08,-2.61913E-05,-1.77769E-05,-1.26365E-05,-9.3983E-06,-6.82961E-06,-5.48366E-06
-29.1,-6.4487E-08,-2.64683E-05,-0.000018008,-1.27769E-05,-9.53975E-06,-6.93657E-06,-5.56411E-06
-29.2,-6.69548E-08,-2.69017E-05,-1.81857E-05,-1.29366E-05,-9.65814E-06,-7.02024E-06,-5.63883E-06
-29.3,-7.10868E-08,-2.73334E-05,-1.84114E-05,-1.31031E-05,-9.79157E-06,-7.12505E-06,-5.73059E-06
-29.4,-7.24992E-08,-2.77809E-05,-1.86865E-05,-1.32778E-05,-9.92242E-06,-7.22406E-06,-5.82331E-06
-29.5,-7.43512E-08,-2.82819E-05,-1.89191E-05,-1.34428E-05,-1.00632E-05,-7.35186E-06,-5.92211E-06
-29.6,-7.43789E-08,-2.88008E-05,-1.91898E-05,-1.36471E-05,-1.02137E-05,-7.46987E-06,-6.03378E-06
-29.7,-7.57042E-08,-2.93783E-05,-1.94365E-05,-1.38555E-05,-1.03657E-05,-7.60812E-06,-6.12569E-06
-29.8,-7.67694E-08,-3.00504E-05,-1.97708E-05,-1.40522E-05,-1.05424E-05,-7.76087E-06,-6.24683E-06
-29.9,-7.97005E-08,-3.08453E-05,-2.00634E-05,-1.42826E-05,-1.0729E-05,-7.90525E-06,-6.38036E-06
-30,-8.17963E-08,-3.17277E-05,-0.000020387,-1.45175E-05,-1.08596E-05,-8.06289E-06,-6.50078E-06
-30.1,-8.12302E-08,-3.28259E-05,-2.07697E-05,-1.48065E-05,-1.10976E-05,-8.10012E-06,-6.64169E-06
-30.2,-8.48085E-08,-3.41486E-05,-2.11269E-05,-1.51068E-05,-1.13619E-05,-8.28347E-06,-6.69242E-06
-30.3,-9.22132E-08,-3.58648E-05,-2.15742E-05,-1.54222E-05,-0.00001153,-8.50586E-06,-6.7522E-06
-30.4,-9.09082E-08,-3.80109E-05,-2.20918E-05,-1.56949E-05,-0.000011843,-8.54347E-06,-6.9477E-06
-30.5,-9.60475E-08,-4.10152E-05,-2.25359E-05,-1.60766E-05,-1.19534E-05,-8.82173E-06,-7.1604E-06
-30.6,-9.94736E-08,-4.58454E-05,-2.31068E-05,-1.63728E-05,-1.21416E-05,-9.03773E-06,-7.29077E-06
-30.7,-1.2525E-07,-5.92733E-05,-2.36846E-05,-1.66768E-05,-1.25299E-05,-9.05781E-06,-7.16491E-06
-30.8,-1.26757E-07,-0.000377692,-2.43214E-05,-1.71764E-05,-1.25932E-05,-9.00138E-06,-7.41413E-06
-30.9,-1.34044E-07,-0.000468957,-2.50419E-05,-1.76416E-05,-1.36081E-05,-9.19553E-06,-7.2564E-06
-31,-1.37819E-07,-0.000537124,-2.57808E-05,-1.80981E-05,-0.000013058,-9.70998E-06,-7.56749E-06
-31.1,-1.44216E-07,-0.000583388,-2.66466E-05,-1.83013E-05,-1.46536E-05,-9.16888E-06,-7.96931E-06
-31.2,-1.43648E-07,-0.000618418,-2.75223E-05,-0.000019081,-1.45573E-05,-9.6653E-06,-8.03628E-06
-31.3,-1.53206E-07,-0.000645749,-2.85681E-05,-1.96758E-05,-0.000013857,-9.61658E-06,-8.42898E-06
-31.4,-1.58761E-07,-0.000675901,-2.97258E-05,-2.02328E-05,-1.40943E-05,-9.8218E-06,-7.93826E-06
-31.5,-1.69043E-07,-0.000708007,-3.08807E-05,-2.09242E-05,-1.40285E-05,-9.75838E-06,-7.96979E-06
-31.6,-1.94169E-07,-0.000737201,-3.23515E-05,-0.000021764,-1.46652E-05,-1.07584E-05,-8.70661E-06
-31.7,-2.04588E-07,-0.000767157,-3.39614E-05,-2.27349E-05,-1.59677E-05,-0.00001312,-8.11785E-06
-31.8,-2.2089E-07,-0.000807239,-3.61238E-05,-2.32397E-05,-1.60749E-05,-1.44293E-05,-8.8747E-06
-31.9,-2.2921E-07,-0.000849703,-0.000038304,-2.45739E-05,-0.000020709,-1.52046E-05,-8.61831E-06
-32,-2.41686E-07,-0.000888799,-4.10373E-05,-2.57278E-05,-1.84855E-05,-1.22015E-05,-8.42922E-06
-32.1,-2.51992E-07,-0.000933905,-4.44538E-05,-2.70562E-05,-1.73481E-05,-1.57371E-05,-9.33986E-06
-32.2,-2.81058E-07,-0.000965569,-4.72084E-05,-3.00225E-05,-0.000019093,-0.000024032,-8.83862E-06
-32.3,-3.31701E-07,-0.00099898,-5.31593E-05,-0.000031554,-1.80134E-05,-1.48702E-05,-9.08662E-06
-32.4,-3.68924E-07,-0.001036019,-5.68942E-05,-3.30563E-05,-0.000019487,-1.09161E-05,-8.90583E-06
-32.5,-3.90274E-07,-0.001071684,-6.47167E-05,-3.95506E-05,-0.000021612,-1.90781E-05,-9.00195E-06
-32.6,-4.59481E-07,-0.001111904,-7.62133E-05,-4.35516E-05,-3.30584E-05,-1.13427E-05,-9.5921E-06
-32.7,-4.65597E-07,-0.00115465,-0.000100791,-0.000051505,-3.62697E-05,-1.18204E-05,-9.33245E-06
-32.8,-4.6656E-07,-0.0011943,-0.000128637,-0.000061002,-3.85031E-05,-1.85343E-05,-9.3504E-06
-32.9,-5.55879E-07,-0.00123495,-0.000163668,-0.000071788,-0.000042143,-0.000024413,-1.01849E-05
-33,-5.59058E-07,-0.00127906,-0.000195785,-0.000096747,-0.000055992,-0.000038089,-1.06733E-05
-33.1,-6.34149E-07,-0.00131482,-0.000251439,-0.000138961,-0.000094383,-0.000071421,-0.000009533
-33.2,-5.969E-07,-0.00134714,-0.000323548,-0.000175803,-0.000148034,-0.000119006,-0.000121171
-33.3,-6.04097E-07,-0.00138111,-0.000373185,-0.000198331,-0.000202751,-3.66133E-05,-0.000183856
-33.4,-6.88956E-07,-0.00141576,-0.000422855,-0.000265635,-0.000285284,-0.000269029,-0.000207702
-33.5,-8.23446E-07,-0.00144416,-0.000477978,-0.000330191,-0.000323557,-0.000319735,-0.000277525
-33.6,-0.00171492,-0.00147184,-0.000534603,-0.000381209,-0.000385077,-0.000361646,-0.000324107
-33.7,-0.00183368,-0.00150847,-0.000589333,-0.000441133,-0.0004428,-0.000416447,-0.000381044
-33.8,-0.0019162,-0.00153498,-0.000648687,-0.000495277,-0.000495438,-0.000459701,-0.000427558
-33.9,-0.00196801,-0.00156084,-0.000710067,-0.000546606,-0.000539004,-0.000507256,-0.00047257
-34,-0.00201381,-0.00158427,-0.000768838,-0.000601947,-0.000578889,-0.000544635,-0.000532278
-34.1,-0.002094,-0.00160897,-0.000832585,-0.00065139,-0.000637089,-0.000586942,-0.000557343
-34.2,-0.0021707,-0.00163432,-0.000893592,-0.000700817,-0.000675875,-0.000635138,-0.00059577
-34.3,-0.00222332,-0.00165992,-0.000945053,-0.000749256,-0.000716378,-0.000677762,-0.000668912
-34.4,-0.00226898,-0.00168594,-0.000995697,-0.000800629,-0.000766274,-0.000719033,-0.000720304
-34.5,-0.00231332,-0.00170989,-0.00104729,-0.00085276,-0.000818888,-0.000768823,-0.000766017
-34.6,-0.00234543,-0.00173517,-0.0010952,-0.000898909,-0.000878428,-0.000809683,-0.000789026
-34.7,-0.00238428,-0.00176008,-0.00114118,-0.000950449,-0.00093369,-0.000863501,-0.000875981
-34.8,-0.00241549,-0.00178405,-0.0011871,-0.001016079,-0.000992766,-0.000934369,-0.00094224
-34.9,-0.00245534,-0.00180664,-0.00122625,-0.001074745,-0.001045314,-0.00099523,-0.000999585
-35,-0.00249209,-0.00182945,-0.00126731,-0.00112795,-0.001093903,-0.001064855,-0.001056305
-35.1,-0.0025093,-0.00185339,-0.00130707,-0.0011765,-0.001135946,-0.001120749,-0.001116945
-35.2,-0.00252517,-0.00187823,-0.00134616,-0.00122581,-0.0011949,-0.00119011,-0.00117975
-35.3,-0.00254464,-0.00190485,-0.00139363,-0.00126921,-0.00123884,-0.00123605,-0.00123448
-35.4,-0.00257914,-0.00192912,-0.00143988,-0.00131601,-0.00128184,-0.00128221,-0.00128554
-35.5,-0.00260341,-0.00195173,-0.00148931,-0.00136432,-0.00132419,-0.00132362,-0.00134971
-35.6,-0.00261745,-0.00197558,-0.00153046,-0.00140361,-0.00137121,-0.00137132,-0.00138732
-35.7,-0.00262757,-0.00199866,-0.0015705,-0.00145356,-0.00141623,-0.00141424,-0.001423
-35.8,-0.00265494,-0.00202268,-0.00160898,-0.00150034,-0.00145917,-0.0014621,-0.00146632
-35.9,-0.00268168,-0.00204462,-0.00164864,-0.00157107,-0.00151197,-0.00150301,-0.00154147
-36,-0.00269068,-0.00206882,-0.00168454,-0.00162207,-0.00156085,-0.00154858,-0.0016077
-36.1,-0.00270369,-0.00209697,-0.0017209,-0.00166894,-0.00160557,-0.00159141,-0.00165481
-36.2,-0.00271668,-0.00212666,-0.00175616,-0.00171387,-0.00166543,-0.00163276,-0.00169519
-36.3,-0.00273302,-0.00215304,-0.00179104,-0.00175692,-0.00172641,-0.00167699,-0.00173522
-36.4,-0.00274935,-0.00217863,-0.00182411,-0.00179917,-0.00180844,-0.00171689,-0.00177195
-36.5,-0.00276721,-0.0022024,-0.00185715,-0.00184296,-0.00182351,-0.00175771,-0.00181115
-36.6,-0.00278312,-0.002227,-0.00188962,-0.00188319,-0.00192386,-0.00179974,-0.00184624
-36.7,-0.00280099,-0.00225297,-0.0019236,-0.00192631,-0.00197299,-0.00184115,-0.00188407
-36.8,-0.00281761,-0.00227785,-0.00195498,-0.00197042,-0.00201736,-0.00188346,-0.00191994
-36.9,-0.00283801,-0.00230147,-0.00199153,-0.00201654,-0.00205955,-0.00192819,-0.00195813
-37,-0.00285645,-0.00232445,-0.00203157,-0.00207855,-0.00210162,-0.00199164,-0.00199259
-37.1,-0.00287607,-0.00234822,-0.00208017,-0.00212701,-0.00214229,-0.00204142,-0.00203122
-37.2,-0.00289588,-0.0023699,-0.00212559,-0.00216619,-0.00218167,-0.00208535,-0.00207254
-37.3,-0.00292119,-0.00239264,-0.00217242,-0.0022068,-0.00222071,-0.00213253,-0.00211697
-37.4,-0.00294042,-0.00241623,-0.00222219,-0.002248,-0.0022606,-0.00217381,-0.00216066
-37.5,-0.00296028,-0.00244095,-0.00226992,-0.00228994,-0.00230287,-0.00222078,-0.00220643
-37.6,-0.00297858,-0.0024661,-0.0023172,-0.00233318,-0.00234527,-0.00227351,-0.0022526
-37.7,-0.00299998,-0.00249702,-0.00236587,-0.00237686,-0.00238888,-0.00232032,-0.00229783
-37.8,-0.00302043,-0.00253093,-0.00241155,-0.00242019,-0.00243231,-0.00236752,-0.00234478
-37.9,-0.00304159,-0.00256807,-0.0024591,-0.00247173,-0.00247651,-0.00241623,-0.00239485
-38,-0.00306205,-0.00260645,-0.00250495,-0.00253299,-0.00252196,-0.00246413,-0.00244288
-38.1,-0.00308118,-0.00264706,-0.00255003,-0.00258511,-0.00256475,-0.00251487,-0.00248943
-38.2,-0.00310037,-0.00268988,-0.00259438,-0.00263532,-0.00260937,-0.00256233,-0.00253787
-38.3,-0.00311941,-0.0027366,-0.00263899,-0.00268212,-0.00265293,-0.00261207,-0.00258665
-38.4,-0.00314067,-0.00278221,-0.00268536,-0.00272916,-0.00269846,-0.00265956,-0.00263594
-38.5,-0.00316403,-0.00282494,-0.00273232,-0.00277669,-0.00274573,-0.00270894,-0.00268487
-38.6,-0.00319013,-0.00286806,-0.00277993,-0.00282314,-0.00279241,-0.00275882,-0.00273499
-38.7,-0.00321965,-0.0029129,-0.00283057,-0.00287053,-0.00283975,-0.00280751,-0.00278485
-38.8,-0.00324856,-0.00296229,-0.0028851,-0.00291863,-0.00288859,-0.00285893,-0.0028366
-38.9,-0.00327925,-0.00301201,-0.00293912,-0.00296619,-0.00293881,-0.00290927,-0.00288909
-39,-0.00331044,-0.00305944,-0.00299597,-0.00301554,-0.00298946,-0.00296037,-0.00294336
-39.1,-0.00334149,-0.00310791,-0.00305177,-0.00306499,-0.00304033,-0.00301347,-0.0029979
-39.2,-0.0033756,-0.00315896,-0.00310768,-0.00311578,-0.00309335,-0.00306875,-0.00305434
-39.3,-0.00340859,-0.00320941,-0.00316253,-0.00316734,-0.00314657,-0.00312392,-0.00311048
-39.4,-0.00344325,-0.00326126,-0.00321918,-0.00322066,-0.00320167,-0.00318038,-0.00316795
-39.5,-0.00347638,-0.00331437,-0.00327505,-0.00327417,-0.00325611,-0.00323612,-0.00322477
-39.6,-0.00351093,-0.00336809,-0.00333613,-0.00332966,-0.00331247,-0.00329354,-0.00328238
-39.7,-0.0035466,-0.00342262,-0.00339473,-0.00338443,-0.00336764,-0.00334991,-0.00333868
-39.8,-0.00358458,-0.00347684,-0.00345158,-0.00343933,-0.00342358,-0.00340604,-0.00339539
-39.9,-0.00362546,-0.00353264,-0.00350862,-0.00349576,-0.00348033,-0.00346252,-0.00345312
-40,-0.00366583,-0.00358735,-0.00356469,-0.00355149,-0.00353624,-0.00351907,-0.00351028
