V,dark,10dbm,12dbm,14dbm,16dbm,18dbm,20dbm
-3.9,-8.076E-11,-1.55593E-05,-1.03278E-05,-7.02806E-06,-5.10073E-06,-3.56969E-06,-2.79384E-06
-4,-8.533E-11,-1.55613E-05,-1.03344E-05,-7.04289E-06,-5.1038E-06,-3.5684E-06,-2.79989E-06
-4.1,-8.376E-11,-1.55914E-05,-1.03422E-05,-7.05815E-06,-5.10036E-06,-3.57149E-06,-2.80472E-06
-4.2,-8.536E-11,-1.56012E-05,-1.03708E-05,-7.07234E-06,-5.11641E-06,-3.58435E-06,-2.80703E-06
-4.3,-8.812E-11,-1.56374E-05,-1.03896E-05,-7.09222E-06,-5.12567E-06,-3.58903E-06,-2.81691E-06
-4.4,-8.519E-11,-1.56682E-05,-1.03894E-05,-7.11151E-06,-5.14075E-06,-3.59786E-06,-2.81683E-06
-4.5,-8.794E-11,-1.56552E-05,-1.04089E-05,-7.12303E-06,-5.15338E-06,-3.61406E-06,-2.82746E-06
-4.6,-9.295E-11,-0.000015633,-1.04087E-05,-7.12787E-06,-5.16158E-06,-3.61628E-06,-2.83159E-06
-4.7,-8.67E-11,-1.56665E-05,-1.04013E-05,-7.13531E-06,-5.17479E-06,-3.62319E-06,-2.83513E-06
-4.8,-9.208E-11,-0.00001567,-1.04428E-05,-7.14393E-06,-5.17472E-06,-3.63373E-06,-2.83628E-06
-4.9,-9.445E-11,-1.56893E-05,-1.04503E-05,-7.15159E-06,-5.1852E-06,-3.6357E-06,-2.84609E-06
-5,-9.06E-11,-1.57367E-05,-1.04846E-05,-7.16287E-06,-5.18326E-06,-3.64674E-06,-2.85313E-06
-5.1,-9.423E-11,-1.57236E-05,-1.04785E-05,-7.15791E-06,-5.19619E-06,-3.64999E-06,-2.85237E-06
-5.2,-9.753E-11,-1.57122E-05,-1.04784E-05,-7.1796E-06,-5.20109E-06,-3.65289E-06,-2.86303E-06
-5.3,-9.552E-11,-1.57077E-05,-1.04925E-05,-7.18316E-06,-5.19734E-06,-0.000003653,-2.86267E-06
-5.4,-9.736E-11,-1.57309E-05,-1.05021E-05,-7.2005E-06,-5.21709E-06,-3.66415E-06,-2.86939E-06
-5.5,-9.89E-11,-1.57465E-05,-0.000010511,-7.20486E-06,-5.21414E-06,-3.66597E-06,-2.87245E-06
-5.6,-9.903E-11,-1.57664E-05,-1.05383E-05,-7.20802E-06,-0.000005218,-3.67502E-06,-2.87857E-06
-5.7,-1.0123E-10,-1.57671E-05,-1.05355E-05,-7.21482E-06,-5.23326E-06,-3.67799E-06,-2.8768E-06
-5.8,-1.0198E-10,-1.57829E-05,-1.0534E-05,-7.2282E-06,-5.23256E-06,-3.68158E-06,-2.87854E-06
-5.9,-1.0357E-10,-1.57804E-05,-1.05656E-05,-7.22839E-06,-5.23986E-06,-3.68379E-06,-2.88801E-06
-6,-1.0742E-10,-1.57698E-05,-1.05578E-05,-7.22894E-06,-5.23914E-06,-3.68363E-06,-2.88267E-06
-6.1,-1.0519E-10,-1.57898E-05,-1.05796E-05,-7.24391E-06,-5.24382E-06,-3.68982E-06,-2.88565E-06
-6.2,-1.0512E-10,-1.58068E-05,-1.05818E-05,-7.26109E-06,-5.25706E-06,-3.70262E-06,-2.89361E-06
-6.3,-1.1178E-10,-1.58081E-05,-1.0595E-05,-7.25283E-06,-5.26341E-06,-3.69882E-06,-2.89933E-06
-6.4,-1.0723E-10,-1.58226E-05,-1.06172E-05,-7.26089E-06,-5.25577E-06,-3.70434E-06,-2.90027E-06
-6.5,-1.0827E-10,-1.58445E-05,-1.06146E-05,-7.27216E-06,-5.2773E-06,-3.70361E-06,-2.90702E-06
-6.6,-1.1389E-10,-1.58209E-05,-1.0618E-05,-7.28217E-06,-5.27873E-06,-3.70813E-06,-2.90753E-06
-6.7,-1.1173E-10,-1.58896E-05,-1.06234E-05,-7.29306E-06,-5.27852E-06,-3.71258E-06,-2.90658E-06
-6.8,-1.1281E-10,-1.58765E-05,-1.0641E-05,-7.3139E-06,-5.28629E-06,-3.71957E-06,-2.91378E-06
-6.9,-1.1617E-10,-1.58943E-05,-1.06717E-05,-7.30262E-06,-5.29113E-06,-3.72811E-06,-2.91531E-06
-7,-1.1667E-10,-1.58775E-05,-1.06701E-05,-7.29983E-06,-5.30158E-06,-3.73512E-06,-2.92044E-06
-7.1,-1.1814E-10,-1.59259E-05,-1.06657E-05,-7.31384E-06,-5.30068E-06,-3.72414E-06,-2.91839E-06
-7.2,-1.2088E-10,-1.58939E-05,-1.0686E-05,-7.31661E-06,-5.29574E-06,-3.73631E-06,-2.92321E-06
-7.3,-1.2085E-10,-1.59154E-05,-1.0692E-05,-7.32479E-06,-5.29831E-06,-3.73507E-06,-2.93251E-06
-7.4,-1.2001E-10,-1.59225E-05,-1.06973E-05,-7.31675E-06,-5.30695E-06,-3.73622E-06,-2.93232E-06
-7.5,-1.2721E-10,-0.00001594,-1.07001E-05,-7.33146E-06,-5.30465E-06,-3.7386E-06,-2.93915E-06
-7.6,-1.2334E-10,-1.59182E-05,-1.0723E-05,-7.32201E-06,-5.31077E-06,-3.73607E-06,-2.93702E-06
-7.7,-1.2785E-10,-1.59404E-05,-1.0732E-05,-7.32658E-06,-5.30678E-06,-3.74995E-06,-2.94627E-06
-7.8,-1.3157E-10,-1.59333E-05,-1.07419E-05,-7.34969E-06,-5.31023E-06,-3.7533E-06,-2.94836E-06
